year,originCountry,refugees,happinessScore,lifeLadder,logGDPperCapita,socialSupport,healthyLifeExpectancyAtBirth,freedomToMakeLifeChoices,generosity,perceptionsOfCorruption,positiveAffect,negativeAffect,GINIofHouseholdIncome
2014,Myanmar,1184001,,4.786247253,8.470104218,0.774267435,57.17896271,,0.67777276,0.591632962,0.85796541,0.111978769,0.427850604
2014,DRC,119754,,4.414299965,6.58717823,0.822286069,49.71036148,0.556099296,0.037506819,0.813676,0.558870256,0.304635078,0.509399414
2014,Venezuela,173600,,6.136096478,9.725855827,0.903955817,64.45954895,0.569961905,-0.226648971,0.826534986,0.810578346,0.243603572,0.413278311
2014,Yemen,257645,,3.967957973,8.23398304,0.638252258,54.42792511,0.66390872,-0.172365546,0.885429204,0.610584974,0.275673747,0.44744733
2014,Burundi,52936,,2.904535055,6.688570023,0.564678133,48.56855774,0.431384981,-0.049049191,0.807618856,0.655663729,0.251094639,0.709652007
2014,Colombia,213,,6.44878912,9.450613976,0.907402635,63.67808533,0.801191449,-0.09758582,0.886645734,0.84708029,0.278056443,0.465678215
2014,Afghanistan,300423,,3.130895615,7.484583378,0.525568426,51.37052536,0.508514047,0.118579052,0.871241987,0.531691492,0.374860734,0.413973927
2015,South Sudan,263016,,4.070771217,7.500065804,0.584781349,49.13680267,0.511631012,0.119170479,0.709605932,0.586278081,0.449795097,0.77101171
2015,Iraq,277701,,4.493377209,9.611053467,0.684434831,60.68158722,0.599459946,-0.022023709,0.762167156,0.490032554,0.58126694,0.631783724
2015,Iran,979437,,4.749955654,9.711170197,0.572406888,65.50714111,0.780383229,0.141992077,0.698951244,0.644848764,0.519858181,0.465095609
2015,Ukraine,3273,,3.964542866,8.917972565,0.909439743,63.16815567,0.43059203,-0.015052794,0.952472746,0.574076056,0.241075858,0.325989962
2015,Libya,9305,,5.615404606,9.497083664,0.867987692,61.29526901,0.774544954,-0.071999818,,0.703949928,0.368905216,0.522917092
2015,Somalia,8081,,5.353644848,,0.599281073,47.43921661,0.967869282,,0.410235763,0.900667667,0.186736152,0.413535863
2015,Syria,581113,,3.46191287,,0.463912874,60.95451355,0.448270857,,0.685236931,0.369439602,0.642588735,0.525933683
2015,Pakistan,1561162,,4.823194981,8.45440197,0.561720133,57.14771652,0.586546242,0.070737407,0.716641188,0.575255275,0.328646719,0.390318602
2015,Myanmar,1184001,,4.223846436,8.528500557,0.752064288,57.33304977,0.80797106,0.666991115,0.633305192,0.86590606,0.271750778,0.411334276
2015,DRC,383095,,3.902741671,6.620736122,0.767235577,50.06964874,0.573763788,-0.019449173,0.866378009,0.589130759,0.301049381,0.459486187
2015,Venezuela,173754,,5.568800449,9.655211449,0.911086857,64.60315704,0.512159348,-0.178957507,0.813096821,0.867408633,0.222635239,0.383746594
2015,Yemen,267173,,2.982673883,7.878930092,0.668683469,54.61229324,0.609980762,-0.145430744,0.829097569,0.507435262,0.321357071,0.445242643
2015,Colombia,226,,6.387571812,9.471579552,0.889900029,63.83065033,0.790897965,-0.107767858,0.842899323,0.839294553,0.291769385,0.477427602
2015,Nigeria,1395,,4.932914734,8.64305687,0.811647654,45.12934494,0.680470288,-0.046517052,0.926109254,0.716891885,0.25118956,0.492408693
2015,Afghanistan,257554,,3.982854605,7.466215134,0.528597236,51.69352722,0.388927579,0.094685629,0.880638301,0.553553164,0.339276046,0.59691757
2016,South Sudan,262560,,2.888112307,7.461285591,0.532151818,49.5784874,0.439919025,0.01706657,0.785317779,0.614770651,0.549256921,0.740203083
2016,Iraq,261888,,4.412537098,9.685761452,0.718956709,60.86371613,0.666160166,-0.091289066,0.798866451,0.488692015,0.569758058,0.548373163
2016,Iran,979435,,4.652730942,9.825400352,0.566281199,65.73584747,0.773303747,0.150406659,0.712782621,0.686764956,0.52587682,0.524211705
2016,Ukraine,3302,,4.028690338,8.944818497,0.884961367,63.17075348,0.5025419,0.028647501,0.891075134,0.588721693,0.219624251,0.385915518
2016,Libya,9310,,5.43358326,9.625382423,0.87606585,61.38998795,0.822384834,-0.130131885,,0.71778506,0.383073747,0.480711341
2016,Somalia,11574,,4.667941093,,0.594416559,47.78492737,0.917322814,,0.44080174,0.891423166,0.193282232,0.491746068
2016,Pakistan,1352560,,5.548508167,8.487689018,0.626921296,57.30535889,0.634182811,0.079944424,0.79253006,0.647639751,0.33161667,0.323328614
2016,CAR,12115,,3.567892551,6.788980007,0.483333886,40.07659531,0.689950883,-0.012267672,0.845376968,0.523006201,0.256705284,0.552912951
2016,Myanmar,1302375,,4.623119831,8.576414108,0.793461978,57.48713303,0.877491176,0.65864408,0.607286572,0.804009914,0.301501393,0.426540643
2016,DRC,451956,,4.521935463,6.611898899,0.864154518,50.42893219,0.637366712,0.003774248,0.874999642,0.6462695,0.222411484,0.464596361
2016,Venezuela,172053,,4.041114807,9.534058571,0.901949286,64.74676514,0.457601577,-0.20690684,0.890124679,0.688201249,0.391754121,0.397182971
2016,Yemen,269783,,3.825630903,7.751505375,0.775407016,54.79666519,0.532964051,-0.157162398,,0.469345391,0.227924526,0.411020756
2016,Colombia,258,,6.233715057,9.482222557,0.88190037,63.98321533,0.834966123,-0.108304106,0.897553861,0.793531477,0.294222772,0.558657408
2016,Nigeria,1367,,5.219567776,8.60056591,0.804766953,45.50125122,0.797690511,0.032186322,0.904706836,0.731986105,0.2518363,0.500532091
2016,Afghanistan,59771,,4.220168591,7.461400986,0.559071779,52.01652908,0.522566199,0.057072122,0.793245554,0.564952672,0.348332286,0.418629497
2017,South Sudan,283400,3.254,2.816622496,,0.556822658,50.02017212,0.456011087,,0.761269629,0.585602164,0.517363787,0.703007579
2017,Iraq,277663,4.456,4.462399006,9.622719765,0.695109367,61.04584503,0.627722025,-0.038429033,0.757108808,0.505288541,0.59053874,0.55036813
2017,Iran,979435,4.707,4.716783047,9.853448868,0.714232922,65.96455383,0.730635166,0.182735115,0.714941323,0.693666041,0.438533902,0.852039635
2017,Ukraine,3211,4.103,4.311067104,8.967859268,0.858324885,63.17335129,0.598875523,0.016125007,0.936764002,0.597112179,0.234763831,0.421145946
2017,Libya,9342,5.566,5.646852493,,0.822758794,61.48470688,0.778695881,,0.673065543,0.69704932,0.379374176,0.586069345
2017,Pakistan,1393132,5.472,5.830870628,8.519006729,0.690263569,57.46299744,0.712657094,0.030328112,0.713928223,0.586166978,0.308341086,0.411645055
2017,CAR,10023,3.083,3.677826405,6.815262794,0.387390912,40.68725586,0.780017793,0.008222104,0.834498882,0.524068475,0.277179927,0.541746914
2017,Myanmar,849733,4.308,4.154341698,8.634504318,0.795183837,57.64122009,0.886011839,0.62870574,0.618821502,0.74564749,0.282285541,0.424162179
2017,DRC,537074,4.245,4.311033249,6.625340939,0.669688404,50.78821945,0.704239547,0.095792539,0.809181869,0.550525904,0.404262066,0.63245213
2017,Yemen,270898,3.355,3.253560066,,0.789555013,54.98103333,0.595190763,,,0.455181897,0.295063585,0.374521881
2017,Colombia,240,6.26,6.157341957,9.490860939,0.909249961,64.13578033,0.837554634,-0.165878147,0.87501812,0.836926997,0.299308956,0.542027473
2017,Nigeria,1900,5.155,5.321928024,8.58562088,0.733468533,45.8731575,0.825905561,0.113301486,0.834891975,0.724990547,0.235968769,0.46859923
2017,Afghanistan,75927,3.632,2.66171813,7.460143566,0.490880072,52.33952713,0.427010864,-0.106340349,0.954392552,0.49634856,0.371326178,0.286598861
